#: table_doi: 10.17182/hepdata.63216.v1/t105
#: name: Table 105
#: description: Efficiency IN PCT in Fig. 08a.

#: data_file: Table105.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Efficiency [PCT]
311.1,179.8,47.29886
312.0,14.8,51.06726
312.0,134.8,57.60281
314.0,89.8,44.56388
314.0,209.8,38.47159
316.0,44.8,54.76477
316.0,164.8,50.89181
318.0,0.2,43.28333
318.0,119.8,48.11211
320.0,74.8,59.14614
320.0,194.8,50.18425
321.9,29.8,58.71391
321.9,149.8,54.43266
323.9,104.8,48.29506
324.9,59.8,47.35988
324.9,179.8,66.77973
326.9,14.8,52.61135
326.9,134.8,49.11103
328.9,89.8,51.33657
328.9,209.8,59.77904
330.9,44.8,50.0401
330.9,164.8,53.66823
332.9,0.2,50.8693
332.9,119.8,47.60528
334.8,74.8,46.36829
334.8,194.8,59.75912
336.8,29.8,58.91567
336.8,149.8,53.38314
338.8,104.8,62.00617
340.8,59.8,58.9401
340.8,179.8,52.58795
341.8,14.8,47.35998
341.8,134.8,50.76811
343.8,89.8,51.92307
343.8,89.8,47.20942
345.7,44.8,54.53497
345.7,164.8,62.05657
347.7,0.2,49.41538
347.7,119.8,67.57489
349.7,74.8,53.67202
349.7,194.8,44.50657
351.7,29.8,49.90417
351.7,149.8,45.76886
353.7,104.8,51.35142
354.7,59.8,47.87035
354.7,179.8,45.19734
356.7,14.8,50.81938
356.7,134.8,53.83173
358.6,89.8,51.97291
358.6,209.8,50.17793
360.6,44.8,63.95583
360.6,164.8,52.67411
362.6,0.2,52.51529
362.6,119.8,53.9541
364.6,74.8,53.56914
364.6,194.8,56.94657
366.6,29.8,48.63715
366.6,149.8,44.32085
368.6,104.8,59.39358
370.6,59.8,51.54011
370.6,179.8,43.55148
371.6,14.8,68.79743
371.6,134.8,49.70636

