#: table_doi: 10.17182/hepdata.63216.v1/t101
#: name: Table 101
#: description: Acceptance IN PCT in Fig. 08c.

#: data_file: Table101.yaml
#: keyword reactions: P P --> CHARGINO+ CHARGINO- X | P P --> SLEPTON+ SLEPTON- X | P P --> CHARGINO+ NEUTRALINO X
#: keyword observables: M
#: keyword phrases: Inclusive | Proton-Proton Scattering
#: keyword cmenergies: 8000.0
#: RE,P P --> CHARGINO+ CHARGINO- X
#: SQRT(S) [GeV],8000.0
M(SLEPTON) [GEV],M(NEUTRALINO1) [GEV],Acceptance [PCT]
328.9,209.8,13.08016
330.9,44.8,27.09124
330.9,164.8,19.7528
332.9,0.2,26.74784
332.9,119.8,23.15772
334.8,74.8,25.69816
334.8,194.8,17.30486
336.8,29.8,25.91038
336.8,149.8,21.07365
338.8,104.8,25.81511
340.8,59.8,26.52517
340.8,179.8,19.84454
341.8,14.8,27.67867
341.8,134.8,22.71051
343.8,89.8,26.09083
343.8,89.8,16.30264
345.7,44.8,26.19431
345.7,164.8,20.41362
347.7,0.2,27.47013
347.7,119.8,24.26429
349.7,74.8,24.62764
349.7,194.8,18.51873
351.7,29.8,26.24384
351.7,149.8,24.61896
353.7,104.8,23.86415
354.7,59.8,26.44935
354.7,179.8,22.07607
356.7,14.8,26.67102
356.7,134.8,24.99163
358.6,89.8,27.28981
358.6,209.8,18.68089
360.6,44.8,27.31758
360.6,164.8,22.88764
362.6,0.2,27.66414
362.6,119.8,24.70096
364.6,74.8,26.25189
364.6,194.8,21.51997
366.6,29.8,27.76509
366.6,149.8,24.39132
368.6,104.8,26.09262
370.6,59.8,26.6284
370.6,179.8,22.3332
371.6,14.8,27.93809
371.6,134.8,26.64657

